fund_symbol,fund_extended_name,fund_family,inception_date,category,investment_strategy,investment_type,size_type,currency,fund_net_annual_expense_ratio,category_net_annual_expense_ratio,asset_stocks,asset_bonds,price_earnings_ratio,price_book_ratio,price_sales_ratio,price_cashflow_ratio,sector_basic_materials,sector_consumer_cyclical,sector_financial_services,sector_real_estate,sector_consumer_defensive,sector_healthcare,sector_utilities,sector_communication_services,sector_energy,sector_industrials,sector_technology,credit_us_government,credit_aaa,credit_aa,credit_a,credit_bbb,credit_bb,credit_b,credit_below_b,credit_other_ratings,net_asset_value,fund_yield,top10_holdings,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2019,category_return_2019,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,years_up,years_down,fund_alpha_3years,category_alpha_3years,fund_alpha_5years,category_alpha_5years,fund_alpha_10years,category_alpha_10years,fund_beta_3years,category_beta_3years,fund_beta_5years,category_beta_5years,fund_beta_10years,category_beta_10years,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
FCAL,First Trust California Municipal High Income ETF,First Trust,2017/6/21,Muni California Long,"The investment seeks to provide current income that is exempt from regular federal income taxes and California income taxes, and its secondary objective is long-term capital appreciation. The fund seeks to achieve its investment objectives by investing at least 80% of its net assets (including investment borrowings) in municipal debt securities that pay interest that is exempt from regular federal income taxes and California income taxes. It will invest no more than 50% of its net assets in Municipal Securities that are, at the time of investment, not investment grade, commonly referred to as ""high yield"" or ""junk"" bonds. The fund is non-diversified.",,,USD,0.5,0.28,0,95.65,,,,,,,,,,,,,,,,0,0.72,30.44,18.28,17.25,9.32,1.93,0,22.06,89730000,2.19,"Future Contract On Us 10yr Ultra Fut Dec20: 3.80, ROCKLIN CALIF UNI SCH DIST CMNTY FACS DIST SPL TAX 4%: 2.02, Future Contract On Us Long Bond(Cbt) Dec20: 1.59, PUERTO RICO SALES TAX FING CORP SALES TAX REV 4.5%: 1.56, TOBACCO SECURITIZATION AUTH SOUTHN CALIF TOB SETTLEMENT REV 5%: 1.46, LANCASTER CALIF FING AUTH REV 4%: 1.43, NATOMAS UNI SCH DIST CALIF 3%: 1.36, CALIFORNIA MUN FIN AUTH STUDENT HSG REV 5%: 1.35, BAKERSFIELD CALIF WASTEWTR REV 5%: 1.32, California Health Facs Fing Au Bds 4%: 1.32",0.71,5.04,0.23,-0.69,-0.08,-0.56,1.39,7.5,4.15,7.92,,5.79,,,9.69,,1.1,,,,,,,,,,,,,,,,,,2,0,-0.79,1.75,0,0.58,0,,1.39,1.1,0,1.16,0,,0.36,0.64,0,0.48,0,,90.17,81.59,0,91.21,0,,5.86,2.79,0,3.96,0,,0.47,2.71,0,1.42,0,,1.87,7.13,0,4.91,0,
FCAN,First Trust Canada AlphaDEX Fund,First Trust,2012/2/14,Miscellaneous Region,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ AlphaDEX Canada Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks, depositary receipts, real estate investment trusts (""REITs"") and preferred shares that comprise the index. The index is designed to select stocks from the NASDAQ Canada Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX selection methodology.",Blend,Medium,USD,0.8,0.53,99.74,0,16.61,1.26,1.18,8.08,28.3,10.07,2.53,14.54,0.99,0,7.54,1.85,17.11,6.04,11.04,,,,,,,,,,3080000,1.39,"BRP Inc: 5.02, Kinross Gold Corp: 4.95, Shopify Inc A: 4.35, Pan American Silver Corp: 4.29, Riocan Real Estate Investment Trust: 3.78, Canadian Natural Resources Ltd: 3.74, Allied Properties Real Estate Investment Trust: 3.62, AltaGas Ltd: 3.40, Barrick Gold Corp: 3.38, Centerra Gold Inc: 3.38",-16.31,,-7.33,,5.47,,-10.59,,-5.59,,-0.88,,,,23.47,,-21.96,,15.07,,8.97,,-31.02,,-10.82,-7.65,15.78,10,,,,,,,4,3,-4.32,,-7.6,,0,,1.56,,1.42,,0,,-0.11,,0.17,,0,,78.31,,72.04,,0,,28.64,,24.32,,0,,-0.1,,0.04,,0,,-4.59,,-1.59,,0,
FCG,First Trust Natural Gas ETF,First Trust,2007/5/8,Equity Energy,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the ISE-Revere Natural Gas Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks, depositary receipts and MLP units that comprise the index. The index is designed to track the performance of mid and large capitalization companies that derive a substantial portion of their revenues from midstream activities andu002For the exploration and production of natural gas.",Value,Small,USD,0.6,0.48,99.87,0,,0.58,0.52,1.77,0,0,0,0,0,0,0,0,100,0,0,,,,,,,,,,81300000,5.13,"Western Midstream Partners LP: 4.87, Cabot Oil & Gas Corp Class A: 4.42, Pioneer Natural Resources Co: 4.30, ConocoPhillips: 4.23, EOG Resources Inc: 4.12, DCP Midstream LP: 4.10, Concho Resources Inc: 4.05, Hess Corp: 4.04, Occidental Petroleum Corp: 3.94, TC Pipelines LP: 3.84",-47.92,12.43,,-4.33,-17.21,2.1,-39.1,-2.23,-32.92,-13.55,-25.9,-5.33,-21.98,1.18,-15.73,,-34.76,,-11.43,,19.48,,-59.14,-29.77,-42.03,-18.42,25.13,23.2,-13.47,-0.86,-6.84,-13.27,12.19,14.71,4,8,-37.74,-16.86,-38.34,-14.03,-32.69,-1.08,2.8,1.43,2.72,1.34,2.11,1.2,-1.79,-0.96,-1.36,-0.23,-1.27,0.42,53.49,39.8,48.94,44.54,41.98,57.66,65.06,25.84,54.99,23.59,44.75,27.21,-0.36,-0.39,-0.32,-0.09,-0.36,0.16,-12.34,-8.63,-9.98,-3.67,-10.7,0.59
FCOM,Fidelity MSCI Communication Services Index ETF,Fidelity Investments,2013/10/21,Communications,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the MSCI USA IMI Communication Services 25u002F50 Index. The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Communication Services 25u002F50 Index, which represents the performance of the communication services sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Communication Services 25u002F50 Index. The fund is non-diversified.",Blend,Large,USD,0.08,0.35,99.82,0,25.85,3.27,2.74,11.36,0,0.28,0,0,0,0,0,99.32,0,0,0.39,,,,,,,,,,544670000,0.83,"Facebook Inc A: 17.16, Alphabet Inc Class C: 11.88, Alphabet Inc A: 11.71, Verizon Communications Inc: 5.23, Netflix Inc: 4.43, Comcast Corp Class A: 4.40, The Walt Disney Co: 4.28, AT&T Inc: 4.10, Charter Communications Inc A: 3.10, T-Mobile US Inc: 2.28",9.6,10.54,0.86,0.96,2.94,0.86,15.82,17.28,10.7,6.51,10.66,12.11,,5.86,27.06,,-5.45,,3.59,,23.17,,3.26,0.83,6.4,1.16,,,,,,,,,5,1,5.15,2.28,3.59,3.49,0,2.36,0.99,0.84,0.88,0.81,0,0.84,0.99,0.59,0.96,1.03,0,0.61,78.71,56.68,57.68,54.86,0,65.43,18.9,12.77,16.44,13.42,0,17.67,0.54,0.55,0.63,0.91,0,0.37,9.16,8.1,10.77,15.38,0,6.14
FCTR,First Trust Lunt U.S. Factor Rotation ETF,First Trust,2018/7/23,,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Lunt Capital Large Cap Factor Rotation Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index utilizes the index provider's risk-adjusted relative strength methodology to allocate exposure to securities exhibiting either high or low levels of the characteristics associated with one of four primary investing factors: momentum, value, quality and volatility. The fund is non-diversified.",Growth,Large,USD,0.65,,100,0,31.78,6.54,3.27,20.25,1.6,13.89,8.01,5.34,9.48,13.78,5.36,7.34,0.43,12.42,22.35,,,,,,,,,,96960000,0.81,"Zoom Video Communications Inc: 2.57, Tesla Inc: 1.98, DraftKings Inc Ordinary Shares - Class A: 1.90, Zscaler Inc: 1.68, Copart Inc: 1.38, NVIDIA Corp: 1.35, American Tower Corp: 1.34, Mastercard Inc A: 1.33, Carvana Co Class A: 1.31, Visa Inc Class A: 1.30",8.01,,-3.68,,-0.86,,12.1,,,,,,,,30.36,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDD,First Trust STOXX European Select Dividend Index Fund,First Trust,2007/8/27,Europe Stock,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the STOXX Europe Select Dividend 30 Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index consists of 30 high dividend-yielding securities selected from the STOXX Europe 600 Index. In addition, a security must be issued by a company with a non-negative five-year dividend-per-share growth rate and a dividend-to-earnings ratio of 60% or less.",Value,Large,USD,0.58,0.44,99.96,0,10.16,0.65,0.52,4.56,8.53,10.76,41.79,7.06,0,2.64,8.84,9.24,6.7,4.43,0,,,,,,,,,,170840000,4.99,"Aegon NV: 6.22, Standard Life Aberdeen PLC: 5.48, Legal & General Group PLC: 5.28, UBS Group AG: 5.00, NN Group NV: 4.61, Deutsche Post AG: 4.43, Bayerische Motoren Werke AG Participating Preferred: 4.19, Royal Dutch Shell PLC B: 4.01, Telecom Italia SpA Rsp: 3.71, Ageas SA/ NV: 3.61",-26.3,,-3.36,0.72,-5.16,5.55,-22.48,3.94,-5.8,0.3,-0.38,8.18,0.99,1.23,23.18,,-8.8,,19.05,,2.45,,-3.33,0.91,-0.11,-4.9,17.2,26.83,10.19,20.74,-10.19,-16.97,0.81,5.53,7,5,-4.88,0.41,-4.21,2.25,-1.87,-0.65,1.08,1.03,1.02,0.99,0.96,1.07,-0.32,0.12,0.09,0.76,0.2,0.3,82.35,77.47,79.09,81.23,78.96,90.5,19.4,14.89,16.3,15.69,15.94,21.6,-0.28,0.09,-0.01,0.57,0.12,0.13,-6.68,0.63,-1.5,8.36,0.55,0.38
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Fidelity Investments,2013/10/21,Consumer Cyclical,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the MSCI USA IMI Consumer Discretionary Index. The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Consumer Discretionary Index, which represents the performance of the consumer discretionary sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Consumer Discretionary Index. The fund is non-diversified.",Growth,Large,USD,0.08,0.45,99.92,0,35.5,6.69,1.79,16.61,0,94.05,0,0,4.75,0.01,0,0.25,0,0.36,0.58,,,,,,,,,,997050000,0.77,"Amazon.com Inc: 31.93, Tesla Inc: 7.14, The Home Depot Inc: 7.12, McDonald's Corp: 3.93, Nike Inc B: 3.69, Lowe's Companies Inc: 2.96, Starbucks Corp: 2.52, Target Corp: 1.89, Booking Holdings Inc: 1.65, TJX Companies Inc: 1.51",25.97,-0.65,-2.76,-2.32,5.43,-3.49,32.08,-3.67,19.58,3.31,15.08,12.71,,6.08,27.53,,-0.74,,22.78,,6.62,,6.4,0.65,9.29,5.75,,,,,,,,,5,1,12.11,0.52,5.01,4.97,0,3.29,1.35,0.99,1.28,0.96,0,0.95,1.73,0.35,1.33,1.09,0,0.69,90.28,59.74,85.92,60.32,0,61.92,24.09,14.63,19.55,14.55,0,21.28,0.79,0.32,0.76,0.92,0,0.38,13.28,3.61,10.86,13.7,0,5.89
FDL,First Trust Morningstar Dividend Leaders Index Fund,First Trust,2006/3/9,Large Value,The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Morningstar Dividend Leaders IndexSM. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is designed to measure the performance of the 100 highest-yielding stocks that have a consistent record of dividend payment and have the ability to sustain their dividend payments. It is non-diversified.,Value,Large,USD,0.45,0.34,99.96,0,15.01,1.52,1.45,7.67,1.65,0.96,21.45,0,11.21,15.25,15.64,19.43,0.13,2.71,11.56,,,,,,,,,,1230000000,5.07,"AT&T Inc: 9.49, Verizon Communications Inc: 8.65, Pfizer Inc: 7.40, AbbVie Inc: 6.59, Philip Morris International Inc: 5.75, Altria Group Inc: 4.73, International Business Machines Corp: 4.64, Broadcom Inc: 4.61, Citigroup Inc: 3.10, Dominion Energy Inc: 2.88",-17.2,10.9,-0.42,-0.1,-0.89,3.26,-13.07,17.04,0.72,10.53,5.58,15.36,9.29,6.55,24.4,,-5.87,,11.97,,20.69,,2.72,-1.89,12.94,12.53,22.76,30.05,9.23,14.02,14.43,4.63,15.99,16.53,10,3,-8.42,0.43,-4.41,0.71,-0.42,-0.34,0.93,0.91,0.89,0.9,0.76,0.97,0.2,0.88,0.55,1.25,0.81,0.64,81.35,86.29,75.18,84.94,64.16,88.42,18.51,10.58,15.04,10.81,12.58,15.87,0.05,1,0.36,1.38,0.72,0.43,-0.96,11.86,4.92,17.48,11.43,5.97
FDLO,Fidelity Low Volatility Factor ETF,Fidelity Investments,2016/9/12,Large Blend,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the Fidelity U.S. Low Volatility Factor Index. The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Low Volatility Factor Index, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies with lower volatility than the broader market. It may lend securities to earn income for the fund.",Blend,Large,USD,0.29,0.36,99.73,0,26.22,4.19,2.68,15.63,1.72,12.26,13.29,3.27,8.62,14.54,3.12,10.3,1.88,10.28,20.72,,,,,,,,,,358630000,1.61,"Microsoft Corp: 5.91, Alphabet Inc A: 4.01, Visa Inc Class A: 1.89, Johnson & Johnson: 1.79, Mastercard Inc A: 1.69, The Home Depot Inc: 1.68, Adobe Inc: 1.64, Verizon Communications Inc: 1.59, UnitedHealth Group Inc: 1.58, Intel Corp: 1.50",0.03,7.5,-3.46,-0.25,-0.11,3.2,4.67,13.45,10.95,10.14,,15.76,,7.33,30.45,,0.54,,19.96,,,,,,,,,,,,,,,,3,0,1.5,-0.65,0,-0.48,0,0.15,0.86,0.98,0,1,0,1,0.97,0.86,0,1.28,0,0.69,95.3,94.06,0,95.34,0,96.99,15.81,10.9,0,11.38,0,15.42,0.64,0.94,0,1.34,0,0.48,10.83,10.38,0,15.73,0,6.54
FDM,First Trust Dow Jones Select MicroCap Index Fund,First Trust,2005/9/27,Small Value,The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Dow Jones Select MicroCap Index(SM). The fund will normally invest at least 80% of its net assets (including investment borrowings) in the common stocks of U.S. micro-capitalization companies which are publicly traded in the United States. The index is designed to measure the performance of micro-cap stocks issued by U.S. companies that are comparatively liquid and have strong fundamentals relative to the micro-cap segment as a whole.,Blend,Small,USD,0.6,0.35,99.89,0,9.26,1.1,0.39,3.68,2,10.84,29.04,3.74,3.11,16.48,1,2.81,4.12,19.17,7.69,,,,,,,,,,103480000,1.56,"IES Holdings Inc: 1.66, Enova International Inc: 1.41, Provention Bio Inc: 1.39, HarborOne Bancorp Inc: 1.35, US Concrete Inc: 1.35, Ellington Financial Inc: 1.33, UMH Properties Inc: 1.30, Collectors Universe Inc: 1.29, First Bancshares Inc: 1.25, IVERIC bio Inc: 1.24",-23.97,11.88,1.99,-3.28,-1.18,-1.32,-15.89,8.5,-5.31,4.96,4.14,12.52,8.28,5.74,27.25,,-12.69,,8.46,,35.46,,0.54,-7.82,3.08,5.71,43.33,39.19,15.88,19.57,-8.64,-4.37,25.7,25.9,10,4,-15.48,-3.76,-7.88,-2.04,-5.76,-1.48,1.19,1.06,1.2,1.12,1.21,1.26,-0.18,0.49,0.55,1.07,0.84,0.67,70.84,63.24,62.96,69.4,64.75,79.68,25.21,14.31,22.17,13.86,19.94,21.69,-0.15,0.42,0.24,0.92,0.47,0.33,-5.81,4.82,2.4,11.2,6.35,3.99
FDMO,Fidelity Momentum Factor ETF,Fidelity Investments,2016/9/12,Large Growth,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the Fidelity U.S. Momentum Factor Index. The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Momentum Factor Index, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies that exhibit positive momentum signals. It may lend securities to earn income for the fund.",Growth,Large,USD,0.29,0.39,99.76,0,31.49,6.02,3.99,19,2.51,10.95,10.93,3.11,7.93,13.63,3.06,12.62,2.02,7.37,25.88,,,,,,,,,,93720000,1.01,"Apple Inc: 6.47, Microsoft Corp: 5.67, Amazon.com Inc: 4.52, Alphabet Inc A: 3.75, Facebook Inc A: 2.65, Berkshire Hathaway Inc Class B: 1.83, NVIDIA Corp: 1.80, UnitedHealth Group Inc: 1.77, Thermo Fisher Scientific Inc: 1.57, Procter & Gamble Co: 1.56",7.17,4.8,-3.41,0.31,-0.63,5.11,12.52,12.42,9.76,11.46,,17.05,,9.48,24.93,,-3.72,,23.72,,,,,,,,,,,,,,,,2,1,-0.26,-0.19,0,-0.12,0,1.99,0.98,1.05,0,1.05,0,1.04,0.92,0.97,0,1.38,0,0.88,93.8,89.09,0,90.29,0,91.36,17.99,12.1,0,12.36,0,16.71,0.52,0.96,0,1.34,0,0.58,8.48,10.86,0,16.11,0,8.25
FDN,First Trust Dow Jones Internet Index Fund,First Trust,2006/6/19,Technology,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Dow Jones Internet Composite Index (SM) (the ""index""). The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is designed to measure the performance of the largest and most actively traded securities issued by U.S. companies in the Internet industry. The index is a composite of its two sub-indices, the Dow Jones Internet Commerce Index and the Dow Jones Internet Services Index. It is non-diversified.",Growth,Large,USD,0.52,0.53,99.96,0,37.13,8.35,4.88,21.85,0,15.24,4.99,0,0.81,5.35,0,39.25,0,0,34.36,,,,,,,,,,9860000000,0,"Amazon.com Inc: 9.57, Facebook Inc A: 7.32, PayPal Holdings Inc: 4.99, Netflix Inc: 4.94, Salesforce.com Inc: 4.71, Zoom Video Communications Inc: 4.50, Alphabet Inc A: 4.17, Alphabet Inc Class C: 4.10, Cisco Systems Inc: 3.89, Snap Inc Class A: 3.48",34.42,11.18,-0.7,-2.88,1.73,3.1,39.82,10.77,20.29,13.17,20.24,14.36,19.08,8.68,19.26,,6.23,,37.62,,6.91,,21.77,4.5,2.42,14.22,53.4,34.51,20.85,10.58,-5.74,-9.19,36.68,19.09,11,2,13.56,9.46,10.57,5.86,9.98,5.19,1.12,1.1,1.13,1.05,1.08,1.04,1.75,1.13,1.7,1.22,1.6,0.88,70.61,63.2,68.04,62.13,66.96,72.67,22.67,15.69,19.32,15.41,18.11,20.82,0.86,0.86,0.99,0.95,1.02,0.48,16.59,11.9,16.9,13.74,17.1,7.7
FDNI,First Trust Dow Jones International Internet ETF,First Trust,2018/11/6,Foreign Large Growth,"The investment seeks the results that correspond generally to the price and yield (before the funds fees and expenses) of an equity index called the Dow Jones International Internet Index (the index). The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is developed, maintained and sponsored by S&P Dow Jones Indices LLC and is designed to measure the performance of securities of non-U.S. issuers whose primary business focus is Internet-related. The fund is non-diversified.",Growth,Large,USD,0.65,0.66,99.94,0,39.17,6.76,8.87,25.26,0,35.34,0,0,1.38,2.18,0,43.24,0,0,17.86,,,,,,,,,,56800000,0.76,"Meituan: 11.53, Tencent Holdings Ltd: 10.80, Alibaba Group Holding Ltd ADR: 10.30, Shopify Inc A: 7.92, Naspers Ltd Class N: 6.11, JD.com Inc ADR: 5.52, Adyen NV: 3.99, Sea Ltd ADR: 3.70, Prosus NV Ordinary Shares - Class N: 3.08, NAVER Corp: 2.87",40.33,4.1,2.58,1.61,10.99,5.08,89.78,10.47,,2.33,,8.24,,2.43,37.69,,,,,,,,,,,,,,,,,,,,1,0,0,2.15,0,2.56,0,0.41,0,0.88,0,0.92,0,0.82,0,0.25,0,0.74,0,0.32,0,83.96,0,87.99,0,85.8,0,12.12,0,13.94,0,17.04,0,0.24,0,0.64,0,0.18,0,2.57,0,9.09,0,1.9
FDRR,Fidelity Dividend ETF for Rising Rates,Fidelity Investments,2016/9/12,Large Value,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the Fidelity Dividend Index for Rising Rates. The fund normally invests at least 80% of assets in securities included in the underlying index and in depository receipts representing securities included in the underlying index. The underlying index is designed to reflect the performance of stocks of large and mid-capitalization dividend-paying companies that are expected to continue to pay and grow their dividends and have a positive correlation of returns to increasing 10-year U.S. Treasury yields.",Value,Large,USD,0.29,0.34,99.62,0,20.07,2.55,1.82,11.07,2.35,7.24,10.05,3.65,7.03,15.19,3.59,8.6,2.45,9.77,30.08,,,,,,,,,,270220000,3.04,"Apple Inc: 8.31, Microsoft Corp: 7.03, Johnson & Johnson: 2.66, UnitedHealth Group Inc: 2.59, Pfizer Inc: 2.08, Procter & Gamble Co: 2.08, AbbVie Inc: 1.89, Qualcomm Inc: 1.84, Amgen Inc: 1.83, The Home Depot Inc: 1.80",-8.12,10.9,-3.3,-0.1,-0.41,3.26,-1.39,17.04,5.68,10.53,,15.36,,6.55,26.55,,-3.23,,19.51,,,,,,,,,,,,,,,,2,1,-4.02,0.43,0,0.71,0,-0.34,0.97,0.91,0,0.9,0,0.97,0.6,0.88,0,1.25,0,0.64,96.15,86.29,0,84.94,0,88.42,17.65,10.58,0,10.81,0,15.87,0.32,1,0,1.38,0,0.43,4.33,11.86,0,17.48,0,5.97
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,First Trust,2011/4/18,Foreign Large Blend,"The investment seeks results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ AlphaDEX Developed Markets Ex-US Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks, depositary receipts, real estate investment trusts (""REITs"") and preferred shares that comprise the index. The index is designed to select stocks from the NASDAQ Developed Markets Ex-US Index that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX selection methodology.",Blend,Medium,USD,0.8,0.37,99.19,0,11.96,1.06,0.71,6.58,15.6,15.77,7.26,7.97,5.27,4.8,5.05,9.71,2.01,17.75,8.82,,,,,,,,,,328920000,2.26,"Hanwha Solutions: 0.67, Kia Motors Corp: 0.63, Hopson Development Holdings Ltd: 0.61, KDDI Corp: 0.61, Man Wah Holdings Ltd: 0.60, Vestas Wind Systems A/S: 0.60, Washington H Soul Pattinson & Co Ltd: 0.60, Iliad SA: 0.59, Jungheinrich AG Participating Preferred: 0.59, Z Holdings Corp: 0.59",-12.32,4.11,-3.95,1.28,-0.58,5.62,-8.07,8.19,-5.18,0.78,2.03,7.15,,1.76,16.6,,-19.52,,33.58,,3.54,,0.64,-2.56,-5.98,-3.5,18.42,18.48,17.02,16.79,,,,,6,2,-4.26,0.72,-2.18,1.34,0,-0.3,1.15,1.01,1.12,0.95,0,0.96,-0.27,0.14,0.29,0.66,0,0.3,93.78,91.75,93.35,93.83,0,93.95,19.31,13.42,16.45,13.95,0,19.03,-0.25,0.15,0.14,0.57,0,0.14,-5.7,1.18,0.86,7.64,0,0.97
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,First Trust,2012/2/15,Foreign Small/Mid Value,"The investment seeks investment results that correspond generally to the price and yield of an equity index called the NASDAQ AlphaDEX Developed Markets Ex-US Small Cap Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks, depositary receipts, real estate investment trusts (""REITs"") and preferred shares that comprise the index. The index is designed to select stocks from the NASDAQ Developed Markets Ex-US Index that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX selection methodology.",Blend,Small,USD,0.8,0.51,99.64,0,8.77,0.87,0.41,4.61,10.96,19.04,7.35,5.75,4.83,6.47,1.84,4.28,2.75,23.73,13,,,,,,,,,,7100000,2.64,"AO World PLC: 0.72, HMM: 0.55, Genky Drug Stores Co Ltd: 0.52, Nishimatsuya Chain Co Ltd: 0.51, Boozt AB: 0.50, Fox-Wizel Ltd: 0.50, 888 Holdings PLC: 0.46, Ferrexpo PLC: 0.46, PostNL NV: 0.46, Young Poong Corp: 0.46",-6.57,5.04,-2.75,-0.84,1.5,1.25,0.59,3.93,-3.69,1.41,3.2,6.95,,3.48,19.18,,-24.01,,36.25,,2.96,,5.65,2.27,-10.33,-5.57,22.56,21.93,,,,,,,5,2,-2.61,2.72,-1.33,3.45,0,1.92,1.29,0.87,1.25,0.92,0,0.96,-0.13,0.17,0.4,0.63,0,0.44,91.02,84.01,90,90.8,0,93.18,21.91,11.96,18.63,13.04,0,19.13,-0.14,0.17,0.2,0.57,0,0.24,-4.3,1.46,1.58,7.46,0,2.8
FDVV,Fidelity High Dividend ETF,Fidelity Investments,2016/9/12,Large Value,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the Fidelity High Dividend Index. The fund normally invests at least 80% of assets in securities included in the underlying index and in depository receipts representing securities included in the underlying index. The underlying index is designed to reflect the performance of stocks of large and mid-capitalization high-dividend-paying companies that are expected to continue to pay and grow their dividends.",Value,Large,USD,0.29,0.34,99.55,0,19.75,1.77,1.53,9.44,8.78,5.13,16.63,11.23,15.61,8.19,0,2.87,7.39,2.87,21.29,,,,,,,,,,519500000,3.9,"Apple Inc: 6.18, Microsoft Corp: 5.23, Procter & Gamble Co: 3.60, PepsiCo Inc: 2.65, JPMorgan Chase & Co: 2.34, Philip Morris International Inc: 2.18, Williams Companies Inc: 2.12, Chevron Corp: 1.96, Linde PLC: 1.92, Altria Group Inc: 1.87",-14.26,10.9,-2.78,-0.1,-1.37,3.26,-8.52,17.04,3.44,10.53,,15.36,,6.55,23.77,,-0.93,,13.81,,,,,,,,,,,,,,,,2,1,-6.27,0.43,0,0.71,0,-0.34,1.01,0.91,0,0.9,0,0.97,0.44,0.88,0,1.25,0,0.64,89.56,86.29,0,84.94,0,88.42,19.05,10.58,0,10.81,0,15.87,0.2,1,0,1.38,0,0.43,1.93,11.86,0,17.48,0,5.97
